time,'Heater 1: T (C)', 'Heater 2: T (C)', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)'
37:30.8,3918,3897,3896,3893.6,3915.8,3896
37:31.2,3918,3897,3896,3893.8,3915.8,3896
37:31.6,3918.2,3897,3896,3894,3916.4,3896
37:32.0,3918.4,3897,3896,3894,3916,3896
37:32.4,3918.4,3897,3896,3894.2,3915.6,3896
37:32.7,3918.4,3897,3896,3894.4,3915.6,3896
37:33.1,3919,3897.4,3896,3894.4,3915.2,3896
37:33.5,3919.6,3897.6,3896,3894.6,3914.8,3896
37:33.9,3919.6,3897.6,3896,3894.8,3914.8,3896
37:34.3,3919,3897.2,3896,3894.8,3915.2,3896
37:34.7,3918.8,3897.2,3896,3894.6,3915.4,3896
37:35.2,3918.6,3897.2,3896,3894.6,3915.2,3896
37:35.5,3918.4,3897.2,3896,3894.6,3915,3896
37:36.0,3918.2,3897.2,3896,3894.4,3914.8,3896
37:36.3,3918.2,3897.2,3896,3894.4,3914.8,3896
37:36.8,3918,3897.2,3896,3894.4,3915,3896
37:37.2,3918,3897.2,3896,3894.4,3915,3896
37:37.6,3918.2,3897.2,3896,3894.2,3915.4,3896
37:38.0,3918.4,3897.2,3896,3894,3915.8,3896
37:38.5,3918.4,3897.2,3896,3894,3915.6,3896
37:38.9,3918.6,3897.2,3896,3894,3915.8,3896
37:39.2,3918.6,3897.2,3896,3894,3916,3896
37:39.6,3918.6,3897.4,3896,3894,3916,3896
37:39.9,3918.6,3897.6,3896,3894,3915.4,3896
37:40.3,3918.4,3897.4,3896,3893.6,3915,3896
37:40.7,3918.4,3897.2,3896,3893.6,3915,3896
37:41.2,3918.2,3897.2,3896,3893.6,3915,3896
37:41.6,3918.2,3897.4,3896,3893.2,3915,3896
37:42.0,3918.2,3897.4,3896,3893.2,3915.2,3896
37:42.4,3918.4,3897.6,3896,3893.2,3915.2,3896
37:42.8,3918.6,3897.8,3896,3893.4,3915.2,3896
37:44.6,3918.6,3897.6,3896,3893.8,3915.6,3896
37:45.0,3918.6,3897.4,3896,3894.2,3915.8,3896
37:45.4,3918.6,3897.4,3896,3894.2,3915.8,3896
37:45.7,3918.4,3897.4,3896,3893.6,3915.8,3896
37:46.1,3918.6,3897.4,3896,3893.6,3916.2,3896
37:46.5,3918.4,3897.4,3896,3894,3917,3896
37:46.9,3918.4,3897.4,3896,3894.2,3916.8,3896
37:47.2,3918.4,3897.4,3896,3894.2,3916.4,3896
37:47.6,3918.8,3897.4,3896,3894.2,3915.6,3896
37:48.0,3919.4,3897.6,3896,3894.4,3914,3896
37:48.3,3919.4,3897.8,3896,3894,3913.2,3896
37:48.7,3919.4,3898,3896,3894.4,3914,3896
37:49.1,3919.4,3898,3896,3894.6,3913.8,3896
37:49.5,3919.2,3898,3896,3894.6,3913.2,3896
37:49.9,3919.6,3897.8,3896,3895,3912.8,3896
37:50.3,3919.4,3897.6,3896,3895,3913,3896
37:50.7,3918.8,3897.4,3896,3894.6,3913.6,3896
37:51.0,3918.4,3897.2,3896,3894.4,3914,3896
37:51.4,3918,3897.2,3896,3894.4,3914.2,3896
37:51.8,3918,3897.2,3896,3894.4,3914.4,3896
37:52.2,3918,3897,3896,3894.4,3914.4,3896
37:52.6,3918,3897,3896,3894.2,3915.4,3896
37:53.0,3918,3897,3896,3894.2,3915.4,3896
37:53.3,3918,3897,3896,3894,3915.6,3896
37:53.7,3918,3897,3896,3894,3916.4,3896
37:54.1,3918,3897,3896,3894,3916.6,3896
37:54.5,3918,3897.2,3896,3894,3916.6,3896
37:54.8,3918,3897.2,3896,3894,3916.6,3896
37:55.2,3918,3897,3896,3894,3916.6,3896
37:55.6,3918.6,3897.4,3896,3894,3915.6,3896
37:56.0,3918.6,3897.4,3896,3894,3915.2,3896
37:56.4,3918.6,3897.4,3896,3894,3916,3896
37:56.9,3918.6,3897.4,3896,3894,3916.2,3896
37:57.2,3918.6,3897.6,3896,3894,3916.2,3896
37:57.6,3918.8,3898,3896,3894,3915.6,3896
37:58.0,3918.2,3897.6,3896,3893.8,3916.2,3896
37:58.4,3918,3897.2,3896,3893.6,3916.6,3896
37:58.8,3918.2,3897.4,3896,3893.4,3917.2,3896
37:59.1,3918.2,3897.4,3896,3893.2,3917.8,3896
37:59.5,3918.4,3897.4,3896,3893.2,3918,3896
37:59.9,3918.6,3897.4,3896,3893.4,3917.8,3896
38:00.3,3919,3897.6,3896,3893.2,3917.8,3896
38:00.7,3919,3897.4,3896,3893.2,3917.2,3896
38:01.1,3919.2,3897.2,3896,3893.4,3916.8,3896
38:01.4,3919.6,3897.2,3896,3893.6,3916.2,3896
38:01.8,3919.6,3897.2,3896,3893.6,3915.6,3896
38:02.2,3918.8,3897,3896,3893.6,3914.8,3896
38:02.5,3918.4,3897,3896,3894,3914,3896
38:02.9,3917.8,3897,3896,3893.8,3914,3896
38:03.3,3917.6,3897,3896,3894,3913.8,3896
38:03.7,3917.2,3897,3896,3894,3913.8,3896
38:04.1,3917.6,3897,3896,3893.8,3914,3896
38:04.4,3917.6,3897,3896,3893.4,3914.4,3896
38:04.8,3917.6,3897,3896,3893,3915.2,3896
38:05.2,3918,3897,3896,3893,3916,3896
38:05.6,3918,3897,3896,3893.4,3916,3896
38:05.9,3918,3897,3896,3893,3916.2,3896
38:06.3,3918.2,3897,3896,3893.2,3917,3896
38:06.7,3918.4,3897.2,3896,3893,3917,3896
38:07.1,3918.4,3897.2,3896,3893,3917.8,3896
38:07.4,3918.4,3897.4,3896,3893,3918,3896
38:07.8,3918.6,3897.4,3896,3893.2,3918.4,3896
38:08.2,3918.4,3897.4,3896,3893.2,3918.4,3896
38:08.6,3918.4,3897.4,3896,3893.4,3917.6,3896
38:09.0,3918.2,3897.4,3896,3893.4,3917.6,3896
38:09.4,3918.2,3897.2,3896,3893.6,3917.6,3896
