time,'Heater 1: T (C)', 'Heater 2: T (C)', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)', 'Steady State: State ()',,,,
32:26.8,26.76,26.54,26.8,26.56,26.48,26.55, 'Varying',,,,
32:27.5,26.76,26.54,26.8,26.56,26.48,26.55, 'Varying',,,,
32:27.9,26.76,26.54,26.8,26.56,26.49,26.55, 'Varying',,,,
32:28.4,26.76,26.54,26.8,26.56,26.49,26.56, 'Varying',,,,
32:28.8,26.76,26.54,26.8,26.56,26.49,26.56, 'Varying',,,,
32:29.5,26.76,26.54,26.8,26.56,26.49,26.56, 'Varying',,,,
32:29.9,26.76,26.54,26.8,26.55,26.49,26.56, 'Varying',,,,
32:30.4,26.76,26.54,26.8,26.56,26.49,26.56, 'Varying',,,,
32:30.9,26.76,26.54,26.8,26.56,26.49,26.56, 'Varying',,,,
32:31.5,26.76,26.54,26.8,26.56,26.49,26.55, 'Varying',,,,
32:31.9,26.76,26.54,26.8,26.56,26.49,26.55, 'Varying',,,,
32:32.4,26.76,26.54,26.8,26.56,26.49,26.55, 'Varying',,,,
32:32.9,26.76,26.54,26.8,26.57,26.48,26.55, 'Varying',,,,
32:33.4,26.76,26.54,26.8,26.56,26.48,26.55, 'Varying',,,,
32:33.9,26.76,26.54,26.8,26.56,26.48,26.55, 'Varying',,,,
32:34.4,26.76,26.54,26.8,26.56,26.48,26.54, 'Varying',,,,
32:34.9,26.76,26.54,26.8,26.56,26.48,26.54, 'Varying',,,,
32:35.4,26.76,26.54,26.8,26.56,26.48,26.55, 'Varying',,,,
32:35.9,26.76,26.54,26.8,26.55,26.48,26.54, 'Varying',,,,
32:36.4,26.76,26.54,26.8,26.55,26.49,26.54, 'Varying',,,,
32:36.9,26.76,26.54,26.8,26.55,26.49,26.54, 'Varying',,,,
32:37.5,26.76,26.54,26.8,26.55,26.49,26.54, 'Varying',,,,
32:37.9,26.76,26.54,26.8,26.56,26.49,26.54, 'Varying',,,,
32:38.3,26.76,26.54,26.8,26.56,26.49,26.54, 'Varying',,,,
32:38.6,26.76,26.54,26.8,26.56,26.49,26.54, 'Varying',,,,
32:38.9,26.76,26.54,26.8,26.56,26.48,26.54, 'Varying',,,,
32:39.3,26.76,26.54,26.8,26.56,26.48,26.54, 'Varying',,,,
32:39.6,26.75,26.54,26.8,26.56,26.48,26.54, 'Varying',,,,
32:40.1,26.75,26.54,26.8,26.55,26.48,26.54, 'Varying',,,,
32:40.6,26.75,26.54,26.8,26.55,26.48,26.54, 'Varying',,,,
32:41.1,26.75,26.54,26.8,26.55,26.48,26.54, 'Varying',,,,
32:41.6,26.75,26.54,26.8,26.55,26.48,26.54, 'Steady',,,,
32:42.0,26.75,26.54,26.8,26.55,26.48,26.54, 'Steady',,,,
32:42.4,26.75,26.54,26.8,26.55,26.48,26.55, 'Steady',,,,
32:42.9,26.75,26.54,26.8,26.55,26.48,26.55, 'Steady',,,,
