time,'Heater 1: T (C)', 'Heater 2: T (C)', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)'
30:42.0,26.91,27.07,27.07,26.93,26.76,26.86
30:42.5,26.92,27.07,27.07,26.93,26.76,26.86
30:42.9,26.92,27.07,27.07,26.93,26.76,26.86
30:43.4,26.91,27.07,27.07,26.94,26.76,26.86
30:43.8,26.91,27.07,27.07,26.94,26.76,26.86
30:44.2,26.91,27.07,27.07,26.93,26.76,26.86
30:44.7,26.91,27.07,27.07,26.93,26.76,26.86
30:45.2,26.91,27.07,27.07,26.94,26.76,26.86
30:45.7,26.91,27.07,27.07,26.94,26.76,26.86
30:46.2,26.91,27.07,27.07,26.94,26.76,26.86
30:46.7,26.91,27.07,27.07,26.94,26.76,26.86
30:47.2,26.91,27.07,27.07,26.95,26.76,26.86
30:47.7,26.91,27.07,27.07,26.95,26.76,26.86
30:48.2,26.92,27.07,27.07,26.95,26.76,26.86
30:48.7,26.92,27.07,27.07,26.95,26.76,26.86
30:49.2,26.92,27.07,27.07,26.95,26.76,26.86
30:49.7,26.92,27.07,27.07,26.94,26.76,26.86
30:50.2,26.92,27.07,27.07,26.94,26.76,26.86
30:50.6,26.92,27.07,27.07,26.94,26.76,26.86
30:51.1,26.91,27.07,27.07,26.94,26.76,26.86
30:51.5,26.91,27.07,27.07,26.94,26.76,26.86
30:52.0,26.91,27.07,27.07,26.94,26.76,26.86
30:52.5,26.91,27.07,27.07,26.93,26.76,26.86
30:53.1,26.91,27.07,27.07,26.93,26.76,26.86
30:53.6,26.91,27.07,27.07,26.93,26.76,26.86
30:54.1,26.91,27.07,27.07,26.93,26.76,26.86
30:54.6,26.92,27.07,27.07,26.94,26.76,26.86
30:55.1,26.92,27.07,27.07,26.94,26.77,26.86
30:55.5,26.92,27.07,27.07,26.93,26.77,26.86
30:56.0,26.92,27.07,27.07,26.93,26.77,26.86
30:56.5,26.92,27.07,27.07,26.93,26.77,26.86
30:56.9,26.92,27.07,27.07,26.94,26.77,26.86
30:57.4,26.92,27.07,27.07,26.94,26.77,26.86
30:57.9,26.92,27.07,27.07,26.95,26.77,26.86
30:58.7,26.92,27.07,27.07,26.94,26.77,26.86
30:59.2,26.92,27.07,27.07,26.94,26.77,26.86
30:59.6,26.92,27.07,27.07,26.95,26.77,26.86
31:00.1,26.92,27.07,27.07,26.95,26.77,26.86
31:00.5,26.91,27.07,27.07,26.94,26.76,26.86
31:01.2,26.91,27.07,27.07,26.94,26.76,26.86
31:01.7,26.91,27.07,27.07,26.94,26.77,26.86
31:02.2,26.91,27.07,27.07,26.94,26.76,26.86
31:02.7,26.91,27.07,27.07,26.94,26.76,26.86
31:03.1,26.92,27.07,27.07,26.95,26.77,26.86
31:03.6,26.92,27.07,27.07,26.95,26.77,26.86
31:04.1,26.92,27.07,27.07,26.96,26.76,26.86
31:04.6,26.92,27.07,27.07,26.96,26.76,26.86
31:05.1,26.92,27.07,27.07,26.96,26.77,26.86
31:05.6,26.92,27.07,27.07,26.96,26.77,26.86
31:06.8,26.92,27.07,27.07,26.96,26.77,26.86
31:07.3,26.92,27.07,27.07,26.96,26.77,26.86
31:07.8,26.92,27.07,27.07,26.96,26.77,26.87
31:08.2,26.92,27.07,27.07,26.96,26.76,26.87
31:08.7,26.92,27.07,27.07,26.95,26.76,26.87
31:09.4,26.92,27.07,27.07,26.95,26.76,26.86
31:09.9,26.92,27.07,27.07,26.95,26.76,26.86
31:10.4,26.91,27.07,27.07,26.95,26.76,26.86
31:10.9,26.91,27.07,27.07,26.95,26.76,26.86
31:11.4,26.92,27.07,27.07,26.95,26.76,26.86
31:11.9,26.92,27.07,27.07,26.95,26.76,26.86
31:12.3,26.92,27.07,27.07,26.95,26.76,26.86
31:12.8,26.92,27.07,27.07,26.95,26.76,26.86
31:13.3,26.92,27.07,27.07,26.95,26.76,26.86
31:13.8,26.92,27.07,27.07,26.95,26.76,26.86
31:14.2,26.92,27.07,27.07,26.95,26.76,26.86
31:14.7,26.92,27.07,27.07,26.95,26.76,26.86
31:15.2,26.92,27.07,27.07,26.95,26.76,26.86
31:15.6,26.92,27.07,27.07,26.95,26.76,26.87
31:16.1,26.92,27.07,27.07,26.96,26.76,26.87
31:16.5,26.92,27.07,27.07,26.96,26.76,26.87
31:17.0,26.92,27.07,27.07,26.96,26.76,26.87
31:17.5,26.92,27.07,27.07,26.96,26.76,26.87
31:18.0,26.92,27.07,27.07,26.96,26.76,26.87
31:18.5,26.92,27.07,27.07,26.96,26.76,26.87
31:19.0,26.92,27.07,27.07,26.96,26.77,26.87
31:19.4,26.92,27.07,27.07,26.96,26.77,26.87
31:19.9,26.92,27.07,27.07,26.96,26.77,26.87
31:20.4,26.92,27.07,27.07,26.96,26.77,26.86
31:20.8,26.92,27.07,27.07,26.96,26.77,26.86
31:21.3,26.92,27.07,27.07,26.96,26.76,26.86
31:21.8,26.92,27.07,27.07,26.96,26.76,26.86
31:22.3,26.92,27.07,27.07,26.96,26.76,26.86
31:22.8,26.92,27.07,27.07,26.95,26.76,26.86
31:23.3,26.92,27.07,27.07,26.95,26.76,26.86
31:23.8,26.92,27.07,27.07,26.95,26.76,26.86
31:24.3,26.92,27.07,27.07,26.95,26.76,26.86
31:24.8,26.92,27.07,27.07,26.95,26.76,26.87
31:25.2,26.92,27.07,27.07,26.96,26.76,26.86
31:25.7,26.92,27.07,27.07,26.96,26.76,26.86
31:26.1,26.92,27.07,27.07,26.96,26.76,26.86
31:26.5,26.92,27.07,27.07,26.96,26.76,26.86
31:26.9,26.92,27.07,27.07,26.96,26.76,26.86
31:27.4,26.92,27.07,27.07,26.96,26.76,26.86
31:27.8,26.92,27.07,27.07,26.95,26.76,26.86
31:28.2,26.92,27.07,27.07,26.95,26.76,26.86
31:28.7,26.92,27.07,27.07,26.95,26.76,26.86
31:29.1,26.92,27.07,27.07,26.94,26.76,26.87
31:29.5,26.92,27.07,27.07,26.94,26.76,26.87
31:30.0,26.92,27.07,27.07,26.94,26.76,26.87
31:30.4,26.92,27.07,27.07,26.94,26.76,26.87
31:30.8,26.92,27.07,27.07,26.94,26.76,26.87
31:31.3,26.92,27.07,27.07,26.95,26.77,26.87
31:31.8,26.92,27.07,27.07,26.95,26.77,26.87
31:32.3,26.92,27.07,27.07,26.95,26.77,26.87
31:32.9,26.92,27.07,27.07,26.95,26.76,26.87
31:33.3,26.92,27.07,27.07,26.95,26.76,26.87
31:33.8,26.92,27.07,27.07,26.95,26.77,26.87
31:34.3,26.92,27.07,27.07,26.96,26.77,26.87
31:34.8,26.92,27.07,27.07,26.96,26.77,26.87
