time,'Heater 1: T (C)', 'Heater 2: T (C)', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)'
42:49.4,27.42,27.42,27.53,27.41,27.21,27.28
42:49.7,27.42,27.42,27.53,27.41,27.23,27.28
42:50.0,27.42,27.42,27.53,27.41,27.24,27.29
42:50.4,27.42,27.42,27.53,27.41,27.23,27.29
42:50.7,27.42,27.42,27.53,27.41,27.23,27.29
42:51.0,27.42,27.42,27.53,27.41,27.24,27.29
42:51.4,27.42,27.42,27.53,27.41,27.25,27.3
42:51.7,27.42,27.42,27.53,27.41,27.24,27.3
42:52.0,27.42,27.42,27.53,27.41,27.26,27.3
42:52.4,27.42,27.42,27.53,27.41,27.25,27.3
42:52.7,27.42,27.42,27.53,27.41,27.25,27.29
42:53.1,27.42,27.42,27.53,27.41,27.25,27.29
42:53.4,27.42,27.42,27.53,27.41,27.25,27.3
42:54.0,27.42,27.42,27.53,27.41,27.25,27.3
42:54.4,27.42,27.42,27.53,27.41,27.25,27.3
42:54.6,27.42,27.42,27.53,27.41,27.25,27.3
42:55.0,27.42,27.42,27.53,27.41,27.25,27.3
42:55.3,27.42,27.42,27.53,27.41,27.24,27.3
42:55.7,27.42,27.42,27.53,27.41,27.23,27.3
42:56.0,27.42,27.42,27.53,27.41,27.23,27.3
42:56.4,27.42,27.42,27.53,27.41,27.22,27.3
42:56.7,27.42,27.42,27.54,27.41,27.22,27.3
42:57.0,27.42,27.42,27.53,27.41,27.22,27.3
42:57.4,27.42,27.42,27.53,27.41,27.22,27.3
42:57.8,27.42,27.42,27.53,27.4,27.22,27.29
42:58.1,27.42,27.42,27.53,27.4,27.22,27.29
42:58.4,27.42,27.42,27.53,27.4,27.23,27.29
42:58.8,27.42,27.42,27.53,27.4,27.23,27.29
42:59.2,27.42,27.42,27.53,27.4,27.23,27.29
42:59.7,27.42,27.42,27.53,27.4,27.24,27.29
43:00.0,27.42,27.42,27.53,27.4,27.23,27.29
43:00.4,27.42,27.42,27.53,27.4,27.24,27.29
43:00.7,27.42,27.42,27.53,27.4,27.24,27.29
43:01.0,27.42,27.42,27.53,27.4,27.24,27.29
43:01.5,27.42,27.42,27.53,27.4,27.23,27.29
43:01.8,27.42,27.42,27.53,27.4,27.22,27.28
43:02.2,27.42,27.42,27.53,27.4,27.23,27.29
43:02.6,27.42,27.42,27.53,27.4,27.23,27.29
43:02.9,27.42,27.42,27.53,27.4,27.22,27.28
43:03.3,27.42,27.42,27.53,27.4,27.22,27.28
43:03.6,27.42,27.42,27.53,27.4,27.21,27.28
43:03.9,27.42,27.42,27.53,27.39,27.21,27.28
43:04.3,27.42,27.42,27.53,27.4,27.21,27.28
43:04.6,27.42,27.42,27.53,27.4,27.22,27.28
43:04.9,27.42,27.42,27.53,27.4,27.23,27.28
43:05.2,27.42,27.42,27.53,27.39,27.22,27.28
43:05.6,27.42,27.42,27.53,27.39,27.22,27.28
43:05.9,27.42,27.42,27.53,27.4,27.22,27.28
43:06.2,27.42,27.42,27.53,27.4,27.23,27.28
43:06.6,27.42,27.42,27.53,27.4,27.23,27.28
43:06.9,27.42,27.42,27.53,27.4,27.23,27.28
43:07.3,27.42,27.42,27.53,27.4,27.22,27.28
43:07.7,27.42,27.42,27.53,27.4,27.21,27.28
43:08.1,27.42,27.42,27.53,27.4,27.2,27.28
43:08.4,27.42,27.42,27.53,27.4,27.2,27.27
43:08.7,27.42,27.42,27.53,27.4,27.21,27.27
43:09.1,27.42,27.42,27.53,27.39,27.22,27.27
43:09.4,27.42,27.42,27.53,27.4,27.21,27.27
43:09.8,27.42,27.42,27.53,27.4,27.21,27.27
43:10.2,27.42,27.42,27.53,27.4,27.21,27.27
43:10.5,27.42,27.42,27.53,27.41,27.2,27.27
43:10.9,27.42,27.42,27.53,27.4,27.2,27.27
43:11.1,27.42,27.42,27.53,27.4,27.2,27.27
43:11.5,27.42,27.42,27.53,27.4,27.2,27.27
43:11.8,27.42,27.42,27.53,27.4,27.2,27.27
43:12.2,27.42,27.42,27.53,27.4,27.2,27.27
43:12.5,27.42,27.42,27.53,27.4,27.2,27.27
43:12.9,27.42,27.42,27.53,27.4,27.2,27.27
43:13.3,27.42,27.42,27.53,27.39,27.2,27.27
43:13.6,27.42,27.42,27.53,27.39,27.21,27.27
43:13.9,27.42,27.42,27.53,27.38,27.21,27.27
43:14.3,27.42,27.42,27.53,27.38,27.21,27.27
43:14.8,27.42,27.42,27.53,27.37,27.21,27.27
43:15.2,27.42,27.42,27.53,27.38,27.21,27.27
43:15.5,27.42,27.42,27.53,27.37,27.21,27.27
43:15.8,27.42,27.42,27.53,27.37,27.21,27.27
43:16.2,27.42,27.42,27.53,27.37,27.21,27.27
43:16.5,27.42,27.42,27.53,27.37,27.22,27.27
43:16.8,27.42,27.42,27.53,27.38,27.23,27.27
43:17.1,27.42,27.42,27.53,27.38,27.23,27.28
43:17.4,27.42,27.42,27.53,27.38,27.23,27.27
