time,'Heater 1: T (C)', 'Heater 2: T (C)', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)',,,,,,,,,,,,,
45:29.8,25.43,25.39,25.32,25.4,25.22,25.25,,,PULSE AT,46.52.6,,CELL,169,,TEMP,25.44,,,
45:30.3,25.43,25.39,25.32,25.4,25.23,25.25,,,INITIAL BUMP,47.02.3,,CELL,188,,,25.45,,,
45:30.8,25.43,25.4,25.32,25.4,25.24,25.25,,,PEAK,47.34.5,,CELL,252,,,25.98,,,
45:31.3,25.43,25.39,25.32,25.4,25.25,25.25,,,APPROX RESET TIME,~16 MINS,,,,,,,,,
45:31.8,25.43,25.39,25.32,25.4,25.24,25.25,,,,,TP,41.9,SEC,,,,,1.851851852,
45:32.3,25.43,25.39,25.32,25.4,25.23,25.25,,,,,DEAD TIME,9.7,,,,,,0.108108108,4.319587629
45:32.8,25.43,25.39,25.32,25.4,25.24,25.25,,,,,,,,,,,,,5.9599085
45:33.3,25.43,25.39,25.32,25.4,25.24,25.25,,,,,,,,,,,,,0.644314432
45:33.6,25.42,25.39,25.32,25.39,25.24,25.25,,,,,,,,,,,,,
45:34.1,25.42,25.39,25.32,25.39,25.24,25.25,,,,,,,,,,,,,
45:34.4,25.43,25.39,25.32,25.39,25.23,25.25,,,,,,,,,,,,,
45:34.7,25.43,25.39,25.32,25.39,25.23,25.25,,,,,,,,,,,,,
45:35.2,25.43,25.4,25.32,25.4,25.23,25.25,,,,,,,,,,,,,
45:35.6,25.43,25.4,25.32,25.4,25.23,25.25,,,,,,,,,,,,,
45:36.1,25.42,25.4,25.32,25.4,25.23,25.25,,,,,,,,,,,,,
45:36.4,25.42,25.4,25.32,25.39,25.23,25.25,,,,,,,,,,,,,
45:36.9,25.43,25.4,25.32,25.4,25.23,25.25,,,,,,,,,,,,,
45:37.3,25.43,25.4,25.32,25.4,25.23,25.25,,,,,,,,,,,,,
45:37.7,25.43,25.4,25.32,25.4,25.23,25.25,,,,,,,,,,,,,
45:38.0,25.43,25.4,25.32,25.4,25.23,25.25,,,,,,,,,,,,,
45:38.5,25.43,25.4,25.32,25.4,25.23,25.25,,,,,,,,,,,,,
45:39.0,25.43,25.4,25.32,25.4,25.23,25.25,,,,,,,,,,,,,
