time,'Heater 1: T (C)', 'Heat Element 1', 'Heater 1: enable', 'Heater 2: T (C)', 'Heat Element 2', 'Heater 2: enable', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)', 'Steady State: State ()',,,,,,,,
35:34.2,26.1, 'off',0,26.01, 'off',0,25.98,26.01,25.83,25.85, 'Varying',,,,,,,,
35:34.7,26.1, 'off',0,26.01, 'off',0,25.98,26.02,25.83,25.85, 'Varying',,,,,,,,00:08.5
35:35.2,26.1, 'off',0,26.01, 'off',0,25.98,26.02,25.83,25.85, 'Varying',,,,,,,,00:04.2
35:35.7,26.1, 'off',0,26.01, 'off',0,25.98,26.02,25.82,25.85, 'Varying',,,,,,,,45.8
35:36.2,26.1, 'off',0,26.01, 'off',0,25.98,26.01,25.82,25.85, 'Varying',,,,,,,,47.42
35:36.7,26.1, 'off',0,26.01, 'off',0,25.98,26.02,25.82,25.85, 'Varying',,,,,,,,
35:37.2,26.1, 'off',0,26.01, 'off',0,25.98,26.02,25.83,25.85, 'Varying',,,,,,,,00:08.2
35:37.7,26.1, 'off',0,26.01, 'off',0,25.98,26.03,25.83,25.85, 'Varying',,,,,,,,
35:38.2,26.1, 'off',0,26.01, 'off',0,25.98,26.03,25.83,25.85, 'Varying',,,,,,,,
35:38.7,26.11, 'off',0,26.01, 'off',0,25.98,26.03,25.83,25.85, 'Varying',,,,,,,,
35:39.2,26.11, 'off',0,26.01, 'off',0,25.98,26.03,25.82,25.85, 'Varying',,,,,,,,
35:39.7,26.11, 'off',0,26.01, 'off',0,25.98,26.03,25.83,25.85, 'Varying',,,,,,,,
35:40.2,26.11, 'off',0,26.01, 'off',0,25.98,26.03,25.82,25.85, 'Varying',,,,,,,,
35:40.7,26.11, 'off',0,26.01, 'off',0,25.98,26.04,25.82,25.85, 'Varying',,,,,,,,
35:41.2,26.11, 'off',0,26.01, 'off',0,25.98,26.04,25.83,25.85, 'Varying',,,,,,,,
