time,'Heater 1: T (C)', 'Heat Element 1', 'Heater 1: enable', 'Heater 2: T (C)', 'Heat Element 2', 'Heater 2: enable', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)', 'Steady State: State ()'
58:21.1,21.47, 'off',0,18.75, 'off',0,22.19,23.82,23.19,23.54, 'Varying'
58:21.5,21.48, 'off',0,18.75, 'off',0,22.19,23.82,23.19,23.54, 'Varying'
58:22.0,21.48, 'off',0,18.75, 'off',0,22.19,23.82,23.19,23.54, 'Varying'
58:22.4,21.48, 'off',0,18.75, 'off',0,22.19,23.82,23.18,23.53, 'Varying'
58:22.9,21.48, 'off',0,18.75, 'off',0,22.18,23.82,23.17,23.52, 'Varying'
58:23.3,21.48, 'off',0,18.75, 'off',0,22.18,23.81,23.17,23.52, 'Varying'
58:23.8,21.48, 'off',0,18.75, 'off',0,22.18,23.81,23.16,23.51, 'Varying'
58:24.2,21.48, 'off',0,18.76, 'off',0,22.17,23.81,23.16,23.51, 'Varying'
58:24.7,21.48, 'off',0,18.76, 'off',0,22.17,23.8,23.16,23.51, 'Varying'
58:25.1,21.48, 'off',0,18.75, 'off',0,22.17,23.8,23.15,23.5, 'Varying'
58:25.6,21.48, 'off',0,18.75, 'off',0,22.17,23.8,23.14,23.5, 'Varying'
58:26.0,21.48, 'off',0,18.75, 'off',0,22.17,23.8,23.13,23.49, 'Varying'
58:26.5,21.49, 'off',0,18.75, 'off',0,22.16,23.8,23.12,23.49, 'Varying'
58:27.0,21.49, 'off',0,18.76, 'off',0,22.16,23.8,23.11,23.48, 'Varying'
58:27.4,21.48, 'off',0,18.76, 'off',0,22.15,23.79,23.1,23.47, 'Varying'
58:27.9,21.48, 'off',0,18.76, 'off',0,22.14,23.79,23.1,23.46, 'Varying'
58:28.3,21.49, 'off',0,18.77, 'off',0,22.14,23.79,23.09,23.45, 'Varying'
58:28.8,21.49, 'off',0,18.77, 'off',0,22.13,23.79,23.08,23.44, 'Varying'
58:29.2,21.49, 'off',0,18.77, 'off',0,22.13,23.79,23.07,23.44, 'Varying'
58:29.7,21.49, 'off',0,18.77, 'off',0,22.12,23.78,23.06,23.43, 'Varying'
58:30.2,21.49, 'off',0,18.78, 'off',0,22.12,23.78,23.06,23.43, 'Varying'
58:30.7,21.49, 'off',0,18.77, 'off',0,22.1,23.78,23.06,23.42, 'Varying'
58:31.1,21.49, 'off',0,18.77, 'off',0,22.1,23.78,23.05,23.42, 'Varying'
58:31.6,21.49, 'off',0,18.77, 'off',0,22.09,23.78,23.04,23.41, 'Varying'
58:32.0,21.49, 'off',0,18.78, 'off',0,22.08,23.78,23.04,23.41, 'Varying'
58:32.5,21.49, 'off',0,18.78, 'off',0,22.08,23.78,23.04,23.4, 'Varying'
58:32.9,21.49, 'off',0,18.78, 'off',0,22.08,23.78,23.04,23.4, 'Varying'
58:33.3,21.49, 'off',0,18.78, 'off',0,22.08,23.78,23.03,23.4, 'Varying'
58:33.8,21.49, 'off',0,18.78, 'off',0,22.08,23.78,23.03,23.4, 'Varying'
58:34.3,21.49, 'off',0,18.78, 'off',0,22.08,23.78,23.02,23.39, 'Varying'
58:34.7,21.49, 'off',0,18.79, 'off',0,22.07,23.78,23.02,23.39, 'Varying'
58:35.2,21.5, 'off',0,18.79, 'off',0,22.07,23.78,23.01,23.39, 'Varying'
58:35.6,21.5, 'off',0,18.79, 'off',0,22.07,23.78,23,23.39, 'Steady'
58:36.1,21.5, 'off',0,18.79, 'off',0,22.06,23.78,23,23.38, 'Steady'
58:36.6,21.5, 'off',0,18.8, 'off',0,22.05,23.78,22.99,23.38, 'Steady'
58:37.0,21.5, 'off',0,18.8, 'off',0,22.05,23.77,22.98,23.37, 'Steady'
58:37.5,21.5, 'off',0,18.8, 'off',0,22.05,23.77,22.98,23.37, 'Steady'
58:37.9,21.5, 'off',0,18.81, 'off',0,22.04,23.77,22.98,23.36, 'Steady'
58:38.4,21.5, 'off',0,18.8, 'off',0,22.04,23.77,22.97,23.35, 'Steady'
58:38.8,21.5, 'off',0,18.81, 'off',0,22.04,23.77,22.97,23.34, 'Steady'
58:39.3,21.5, 'off',0,18.81, 'off',0,22.04,23.77,22.97,23.34, 'Steady'
58:39.8,21.5, 'off',0,18.81, 'off',0,22.03,23.77,22.97,23.32, 'Steady'
58:40.2,21.5, 'off',0,18.81, 'off',0,22.03,23.77,22.97,23.31, 'Steady'
58:40.7,21.5, 'on', 'on',18.81, 'off',0,22.03,23.77,22.96,23.3, 'Steady'
58:41.2,21.5, 'on', 'on',18.81, 'off',0,22.03,23.77,22.96,23.3, 'Steady'
58:41.7,21.5, 'on', 'on',18.81, 'off',0,22.03,23.77,22.96,23.28, 'Steady'
58:42.2,21.51, 'on', 'on',18.81, 'off',0,22.03,23.77,22.96,23.28, 'Steady'
58:42.7,21.51, 'on', 'on',18.81, 'off',0,22.03,23.77,22.96,23.27, 'Steady'
58:43.2,21.51, 'on', 'on',18.81, 'off',0,22.03,23.77,22.96,23.26, 'Steady'
58:43.6,21.51, 'on', 'on',18.81, 'off',0,22.03,23.77,22.95,23.25, 'Steady'
58:44.1,21.51, 'on', 'on',18.81, 'off',0,22.03,23.77,22.95,23.25, 'Steady'
58:44.6,21.51, 'on', 'on',18.81, 'off',0,22.03,23.77,22.95,23.24, 'Steady'
58:45.0,21.51, 'on', 'on',18.81, 'off',0,22.03,23.77,22.95,23.24, 'Steady'
58:45.5,21.52, 'on', 'on',18.81, 'off',0,22.03,23.77,22.95,23.23, 'Steady'
58:45.9,21.52, 'on', 'on',18.81, 'off',0,22.03,23.77,22.94,23.23, 'Steady'
58:46.4,21.53, 'on', 'on',18.81, 'off',0,22.03,23.77,22.94,23.22, 'Steady'
58:46.8,21.54, 'on', 'on',18.81, 'off',0,22.03,23.77,22.94,23.22, 'Steady'
58:47.3,21.56, 'on', 'on',18.82, 'off',0,22.03,23.77,22.93,23.22, 'Steady'
58:47.8,21.58, 'on', 'on',18.82, 'off',0,22.03,23.77,22.93,23.21, 'Steady'
58:48.2,21.6, 'on', 'on',18.82, 'off',0,22.03,23.77,22.93,23.2, 'Steady'
