time,'Heater 1: T (C)', 'Heat Element 1', 'Heater 1: enable', 'Heater 2: T (C)', 'Heat Element 2', 'Heater 2: enable', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)', 'Steady State: State ()'
23:03.5,0,0,0,0,0,0,0,0,0,0,0
23:03.6,0, 'on',0,0, 'on',0,0,0,0,0,0
23:03.9,0, 'off',0,0, 'off',0,0,0,0,0,0
23:04.2,0, 'off',0,0, 'off',0,-4.31515477,-4.326370365,-2.833076108,-4.144048116,0
23:04.5,0, 'off',0,0, 'off',0,-8.63030954,-8.652740731,-5.666152216,-8.288096231, 'Varying'
23:04.7,3.894443791, 'off',0,3.447785449, 'off',0,-12.94546431,-12.9791111,-8.499228324,-12.43214435, 'Varying'
23:05.1,7.788887582, 'off',0,6.883679063, 'off',0,-17.26061908,-17.30548146,-11.33230443,-16.57619246, 'Varying'
23:05.3,11.68333137, 'off',0,10.31957268, 'off',0,-21.57577385,-21.63185183,-14.16538054,-20.72024058, 'Varying'
23:05.6,15.57777516, 'off',0,13.75546629, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:05.9,19.47221896, 'off',0,17.19135991, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:06.2,23.37907942, 'off',0,20.62725352, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:06.5,23.3914961, 'off',0,20.62725352, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:06.8,23.40391278, 'off',0,20.62725352, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:07.0,23.41632946, 'off',0,20.62725352, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:07.3,23.42874614, 'off',0,20.61536169, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:07.5,23.42874614, 'off',0,20.61536169, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:07.8,23.44116281, 'off',0,20.61536169, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:08.0,23.44116281, 'off',0,20.60348344, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:08.3,23.44116281, 'off',0,20.60348344, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:08.5,23.44116281, 'off',0,20.60348344, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:08.8,23.44116281, 'off',0,20.59160518, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:09.1,23.44116281, 'off',0,20.57972693, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:09.3,23.44116281, 'off',0,20.56784868, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:09.6,23.44116281, 'off',0,20.55597043, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:09.8,23.44116281, 'off',0,20.54409218, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:10.0,23.44116281, 'off',0,20.54409218, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:10.4,23.44116281, 'off',0,20.54409218, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:10.6,23.44116281, 'off',0,20.55597043, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:10.9,23.44116281, 'off',0,20.55597043, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:11.2,23.44116281, 'off',0,20.55597043, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:11.5,23.44116281, 'off',0,20.54409218, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:11.8,23.44116281, 'off',0,20.54409218, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:12.0,23.44116281, 'off',0,20.55597043, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:12.5,23.44116281, 'off',0,20.55597043, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:12.8,23.44116281, 'off',0,20.55597043, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:13.0,23.44116281, 'off',0,20.55597043, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:13.3,23.44116281, 'off',0,20.55597043, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:13.6,23.44116281, 'off',0,20.55597043, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:13.8,23.44116281, 'off',0,20.54409218, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:14.1,23.44116281, 'off',0,20.54409218, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:14.3,23.44116281, 'off',0,20.54409218, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:14.6,23.44116281, 'off',0,20.54409218, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:14.8,23.44116281, 'off',0,20.54409218, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:15.1,23.44116281, 'off',0,20.54409218, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:15.3,23.44116281, 'off',0,20.54409218, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:15.6,23.44116281, 'off',0,20.54409218, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:15.9,23.44116281, 'off',0,20.54409218, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
