time,'Heater 1: T (C)', 'Heat Element 1', 'Heater 1: enable', 'Heater 2: T (C)', 'Heat Element 2', 'Heater 2: enable', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)', 'Steady State: State ()',,,pid,500-4-1
39:07.4,0,0,0,0,0,0,0,0,0,0,0,,,,
39:07.5,0, 'on',0,0, 'on',0,0,0,0,0,0,,,,
39:07.8,0, 'off',0,0, 'off',0,0,0,0,0,0,,,,
39:08.1,0, 'off',0,0, 'off',0,-4.31515477,-4.326370365,-2.833076108,-4.144048116,0,,,,
39:08.5,0, 'off',0,0, 'off',0,-8.63030954,-8.652740731,-5.666152216,-8.288096231, 'Varying',,,,
39:08.7,4.133315872, 'off',0,3.873393324, 'off',0,-12.94546431,-12.9791111,-8.499228324,-12.43214435, 'Varying',,,,
39:09.0,8.266631745, 'off',0,7.746786648, 'off',0,-17.26061908,-17.30548146,-11.33230443,-16.57619246, 'Varying',,,,
39:09.4,12.41270055, 'off',0,11.63263343, 'off',0,-21.57577385,-21.63185183,-14.16538054,-20.72024058, 'Varying',,,,
39:09.7,16.54601642, 'off',0,15.48117254, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:10.1,20.69208523, 'off',0,19.34213002, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:10.4,24.83815403, 'off',0,23.21552334, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:10.7,24.85090696, 'off',0,23.2279417, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:10.9,24.86365989, 'off',0,23.2279417, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:11.3,24.87641282, 'off',0,23.2279417, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:11.6,24.87641282, 'off',0,23.20305239, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:11.9,24.87641282, 'off',0,23.19061654, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:12.2,24.87641282, 'off',0,23.19061654, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:12.5,24.87641282, 'off',0,23.17818069, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:12.8,24.87641282, 'off',0,23.16574484, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:13.2,24.87641282, 'off',0,23.16574484, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:13.4,24.87641282, 'off',0,23.17818069, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:13.8,24.87641282, 'off',0,23.19061654, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:14.1,24.87641282, 'off',0,23.19061654, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:14.4,24.87641282, 'off',0,23.19061654, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:14.7,24.87641282, 'off',0,23.19061654, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:15.0,24.87641282, 'off',0,23.20305239, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:15.2,24.87641282, 'off',0,23.21548824, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:15.5,24.87641282, 'off',0,23.22792409, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:15.9,24.87641282, 'off',0,23.21548824, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:16.2,24.87641282, 'off',0,23.22792409, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:16.5,24.86365989, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:16.7,24.86365989, 'off',0,23.22792409, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:17.1,24.86365989, 'off',0,23.22792409, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:17.4,24.86365989, 'off',0,23.22792409, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:17.7,24.86365989, 'off',0,23.22792409, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:18.0,24.86365989, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:18.2,24.86365989, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:18.6,24.87641282, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:18.9,24.87641282, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:19.2,24.87641282, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:19.5,24.87641282, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:19.7,24.87641282, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:20.0,24.87641282, 'off',0,23.22792409, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:20.3,24.87641282, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:20.6,24.87641282, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:20.9,24.87641282, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:21.2,24.87641282, 'off',0,23.22792409, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:21.4,24.87641282, 'off',0,23.21548824, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:21.7,24.87641282, 'off',0,23.20305239, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:22.0,24.87641282, 'off',0,23.19061654, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:22.3,24.87641282, 'off',0,23.19061654, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:22.7,24.88918472, 'off',0,23.20305239, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:22.9,24.90195662, 'off',0,23.21548824, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:23.2,24.90195662, 'off',0,23.20305239, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:23.6,24.90195662, 'off',0,23.20305239, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:23.9,24.90195662, 'off',0,23.20305239, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:24.2,24.88918472, 'off',0,23.20305239, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:24.4,24.87641282, 'off',0,23.20305239, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:24.7,24.87641282, 'off',0,23.21548824, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:24.9,24.87641282, 'off',0,23.22792409, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:25.2,24.88918472, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:25.5,24.88918472, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:25.9,24.88918472, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:26.2,24.88918472, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:26.4,24.88918472, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:26.7,24.88918472, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:27.0,24.88918472, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:27.3,24.88918472, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:27.6,24.88918472, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
39:27.9,24.88918472, 'off',0,23.24035994, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady',,,,
