time,'Heater 1: T (C)', 'Heat Element 1', 'Heater 1: enable', 'Heater 2: T (C)', 'Heat Element 2', 'Heater 2: enable', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)', 'Steady State: State ()'
20:34:39.361000,0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0
20:34:39.377000,0.0, 'on', 0, 0.0, 'on', 0, 0.0, 0.0, 0.0, 0.0, 0
20:34:39.564000,0.0, 'off', 0, 0.0, 'off', 0, 0.0, 0.0, 0.0, 0.0, 0
20:34:39.737000,0.0, 'off', 0, 0.0, 'off', 0, 0.0, 0.0, 0.0, 0.0, 0
20:34:39.987000,0.0, 'off', 0, 0.0, 'off', 0, 0.0, 0.0, 0.0, 0.0, 0
20:34:40.237000,84.4, 'off', 0, 84.4, 'off', 0, 84.2, 84.3, 84.3, 84.1, 0
20:34:40.487000,168.8, 'off', 0, 168.8, 'off', 0, 168.4, 168.7, 168.6, 168.2, 'Varying'
20:34:40.737000,253.3, 'off', 0, 253.2, 'off', 0, 252.6, 253.1, 252.9, 252.3, 'Varying'
20:34:41.002000,337.8, 'off', 0, 337.6, 'off', 0, 336.8, 337.5, 337.2, 336.4, 'Varying'
20:34:41.237000,422.3, 'off', 0, 422.0, 'off', 0, 421.0, 421.9, 421.5, 420.5, 'Varying'
20:34:41.487000,506.8, 'off', 0, 506.4, 'off', 0, 505.2, 506.3, 505.8, 504.6, 'Varying'
20:34:41.737000,591.3, 'off', 0, 590.8, 'off', 0, 589.4, 590.7, 590.1, 588.7, 'Varying'
20:34:41.987000,675.8, 'off', 0, 675.2, 'off', 0, 673.6, 675.1, 674.4, 672.8, 'Varying'
20:34:42.237000,760.3, 'off', 0, 759.6, 'off', 0, 757.8, 759.5, 758.7, 757.0, 'Varying'
20:34:42.487000,844.8, 'off', 0, 844.0, 'off', 0, 842.0, 843.9, 843.0, 841.2, 'Varying'
20:34:42.737000,844.9, 'off', 0, 844.0, 'off', 0, 842.0, 844.0, 843.0, 841.3, 'Varying'
20:34:42.987000,845.0, 'off', 0, 844.0, 'off', 0, 842.0, 844.0, 843.0, 841.3, 'Varying'
20:34:43.237000,845.0, 'off', 0, 844.0, 'off', 0, 842.0, 844.0, 843.0, 841.4, 'Varying'
20:34:43.492000,845.0, 'off', 0, 844.1, 'off', 0, 842.0, 844.0, 843.0, 841.5, 'Varying'
20:34:43.742000,845.0, 'off', 0, 844.2, 'off', 0, 842.0, 844.0, 843.0, 841.6, 'Varying'
20:34:43.992000,845.0, 'off', 0, 844.3, 'off', 0, 842.0, 844.0, 843.0, 841.7, 'Varying'
20:34:44.242000,845.0, 'off', 0, 844.4, 'off', 0, 842.0, 844.0, 843.1, 841.7, 'Varying'
20:34:44.492000,845.0, 'off', 0, 844.5, 'off', 0, 842.0, 844.0, 843.2, 841.8, 'Varying'
20:34:44.742000,845.0, 'off', 0, 844.6, 'off', 0, 842.0, 844.0, 843.2, 841.9, 'Varying'
20:34:44.992000,845.0, 'off', 0, 844.7, 'off', 0, 842.0, 844.0, 843.3, 841.9, 'Varying'
20:34:45.242000,845.0, 'off', 0, 844.8, 'off', 0, 842.0, 844.0, 843.4, 842.0, 'Varying'
20:34:45.492000,845.0, 'off', 0, 844.8, 'off', 0, 842.1, 844.0, 843.5, 842.0, 'Varying'
20:34:45.742000,845.0, 'off', 0, 844.9, 'off', 0, 842.2, 844.0, 843.5, 842.0, 'Varying'
20:34:45.992000,845.0, 'off', 0, 845.0, 'off', 0, 842.3, 844.0, 843.6, 842.0, 'Varying'
20:34:46.242000,845.0, 'off', 0, 845.0, 'off', 0, 842.4, 844.0, 843.6, 842.0, 'Varying'
20:34:46.492000,845.0, 'off', 0, 845.0, 'off', 0, 842.4, 844.0, 843.7, 842.0, 'Varying'
20:34:46.742000,845.1, 'off', 0, 845.0, 'off', 0, 842.4, 844.0, 843.8, 842.0, 'Varying'
20:34:46.992000,845.2, 'off', 0, 845.0, 'off', 0, 842.5, 844.1, 843.8, 842.0, 'Varying'
20:34:47.257000,845.3, 'off', 0, 845.0, 'off', 0, 842.6, 844.2, 843.9, 842.0, 'Varying'
20:34:47.492000,845.3, 'off', 0, 845.0, 'off', 0, 842.7, 844.3, 843.9, 842.1, 'Varying'
20:34:47.742000,845.4, 'off', 0, 845.0, 'off', 0, 842.8, 844.4, 843.9, 842.1, 'Varying'
20:34:48.007000,845.5, 'off', 0, 845.0, 'off', 0, 842.9, 844.5, 844.0, 842.2, 'Varying'
20:34:48.242000,845.6, 'off', 0, 845.0, 'off', 0, 842.9, 844.6, 843.9, 842.2, 'Varying'
20:34:48.492000,845.7, 'off', 0, 845.0, 'off', 0, 843.0, 844.7, 843.9, 842.3, 'Varying'
