time,'Heater 1: T (C)', 'Heat Element 1', 'Heater 1: enable', 'Heater 2: T (C)', 'Heat Element 2', 'Heater 2: enable', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)', 'Steady State: State ()'
16:59:54.739000,20.0, 0, 0, 20.0, 0, 0, 20.0, 20.0, 20.0, 20.0, 0
16:59:55.036000,20.0, 'off', 0, 20.0, 'off', 0, 20.0, 20.0, 20.0, 20.0, 0
16:59:55.489000,20.0, 'off', 0, 20.0, 'off', 0, 20.0, 20.0, 20.0, 20.0, 0
16:59:55.927000,20.0, 'off', 0, 20.0, 'off', 0, 20.0, 20.0, 20.0, 20.0, 0
16:59:56.333000,21.04, 'off', 0, 21.05, 'off', 0, 20.92, 20.9, 20.91, 20.89, 0
16:59:56.723000,22.08, 'off', 0, 22.1, 'off', 0, 21.83, 21.8, 21.82, 21.79, 'Varying'
16:59:57.161000,23.11, 'off', 0, 23.15, 'off', 0, 22.75, 22.7, 22.72, 22.68, 'Varying'
16:59:57.598000,24.15, 'off', 0, 24.2, 'off', 0, 23.67, 23.6, 23.63, 23.58, 'Varying'
16:59:58.020000,25.19, 'off', 0, 25.25, 'off', 0, 24.58, 24.5, 24.54, 24.47, 'Varying'
16:59:58.520000,26.23, 'off', 0, 26.3, 'off', 0, 25.5, 25.4, 25.45, 25.37, 'Varying'
16:59:58.942000,27.27, 'off', 0, 27.35, 'off', 0, 26.42, 26.3, 26.36, 26.27, 'Varying'
16:59:59.364000,28.3, 'off', 0, 28.4, 'off', 0, 27.34, 27.21, 27.27, 27.16, 'Varying'
16:59:59.786000,29.34, 'off', 0, 29.45, 'off', 0, 28.26, 28.11, 28.18, 28.06, 'Varying'
17:00:00.224000,30.38, 'off', 0, 30.5, 'off', 0, 29.18, 29.01, 29.09, 28.96, 'Varying'
17:00:00.630000,30.38, 'off', 0, 30.5, 'off', 0, 29.18, 29.01, 29.09, 28.96, 'Varying'
17:00:01.067000,30.38, 'off', 0, 30.5, 'off', 0, 29.19, 29.02, 29.09, 28.96, 'Varying'
17:00:01.536000,30.38, 'off', 0, 30.5, 'off', 0, 29.19, 29.02, 29.09, 28.97, 'Varying'
17:00:02.005000,30.38, 'off', 0, 30.5, 'off', 0, 29.2, 29.02, 29.09, 28.97, 'Varying'
17:00:02.442000,30.38, 'off', 0, 30.5, 'off', 0, 29.2, 29.03, 29.09, 28.97, 'Varying'
17:00:02.880000,30.38, 'off', 0, 30.5, 'off', 0, 29.2, 29.03, 29.09, 28.98, 'Varying'
17:00:03.302000,30.38, 'off', 0, 30.5, 'off', 0, 29.21, 29.03, 29.09, 28.98, 'Varying'
17:00:03.739000,30.38, 'off', 0, 30.5, 'off', 0, 29.21, 29.03, 29.09, 28.99, 'Varying'
17:00:04.177000,30.38, 'off', 0, 30.5, 'off', 0, 29.21, 29.04, 29.09, 28.99, 'Varying'
17:00:04.599000,30.38, 'off', 0, 30.5, 'off', 0, 29.22, 29.04, 29.09, 28.99, 'Varying'
17:00:05.083000,30.38, 'off', 0, 30.5, 'off', 0, 29.22, 29.04, 29.09, 28.99, 'Varying'
17:00:05.614000,30.37, 'off', 0, 30.5, 'off', 0, 29.22, 29.05, 29.09, 29.0, 'Varying'
17:00:05.990000,30.38, 'off', 0, 30.5, 'off', 0, 29.22, 29.05, 29.09, 29.0, 'Varying'
17:00:06.411000,30.38, 'off', 0, 30.5, 'off', 0, 29.22, 29.05, 29.09, 29.0, 'Varying'
17:00:06.818000,30.38, 'off', 0, 30.5, 'off', 0, 29.22, 29.05, 29.09, 29.0, 'Varying'
17:00:07.224000,30.38, 'off', 0, 30.5, 'off', 0, 29.22, 29.05, 29.09, 29.0, 'Varying'
17:00:07.630000,30.38, 'off', 0, 30.5, 'off', 0, 29.22, 29.05, 29.09, 29.0, 'Varying'
17:00:08.052000,30.38, 'off', 0, 30.5, 'off', 0, 29.22, 29.05, 29.09, 29.0, 'Varying'
17:00:08.505000,30.38, 'off', 0, 30.5, 'off', 0, 29.22, 29.06, 29.09, 29.0, 'Varying'
17:00:08.943000,30.38, 'off', 0, 30.5, 'off', 0, 29.22, 29.06, 29.09, 29.01, 'Varying'
17:00:09.365000,30.38, 'off', 0, 30.5, 'off', 0, 29.22, 29.05, 29.09, 29.01, 'Varying'
17:00:09.786000,30.38, 'off', 0, 30.5, 'off', 0, 29.22, 29.05, 29.09, 29.01, 'Varying'
17:00:10.224000,30.38, 'off', 0, 30.5, 'off', 0, 29.22, 29.06, 29.09, 29.01, 'Varying'
17:00:10.630000,30.38, 'off', 0, 30.5, 'off', 0, 29.22, 29.06, 29.09, 29.01, 'Varying'
17:00:11.099000,30.38, 'off', 0, 30.5, 'off', 0, 29.22, 29.06, 29.09, 29.0, 'Varying'
17:00:11.583000,30.38, 'off', 0, 30.5, 'off', 0, 29.22, 29.06, 29.09, 29.0, 'Varying'
17:00:12.115000,30.38, 'off', 0, 30.5, 'off', 0, 29.22, 29.06, 29.09, 29.0, 'Varying'
17:00:12.568000,30.38, 'off', 0, 30.5, 'off', 0, 29.21, 29.07, 29.09, 29.0, 'Varying'
17:00:13.130000,30.38, 'off', 0, 30.5, 'off', 0, 29.21, 29.07, 29.09, 29.0, 'Varying'
17:00:13.599000,30.38, 'off', 0, 30.5, 'off', 0, 29.21, 29.07, 29.09, 29.0, 'Varying'
17:00:14.021000,30.38, 'off', 0, 30.5, 'off', 0, 29.21, 29.06, 29.09, 29.0, 'Varying'
17:00:14.474000,30.38, 'off', 0, 30.5, 'off', 0, 29.21, 29.06, 29.09, 29.0, 'Steady'
17:00:15.099000,30.38, 'off', 0, 30.5, 'off', 0, 29.2, 29.07, 29.09, 29.0, 'Steady'
17:00:15.537000,30.38, 'off', 0, 30.5, 'off', 0, 29.2, 29.07, 29.09, 29.0, 'Steady'
17:00:15.990000,30.38, 'off', 0, 30.5, 'off', 0, 29.2, 29.06, 29.09, 29.0, 'Steady'
17:00:16.427000,30.38, 'off', 0, 30.5, 'off', 0, 29.2, 29.06, 29.09, 29.0, 'Steady'
17:00:16.865000,30.38, 'off', 0, 30.5, 'off', 0, 29.2, 29.07, 29.09, 29.0, 'Steady'
17:00:17.396000,30.38, 'off', 0, 30.5, 'off', 0, 29.19, 29.07, 29.09, 29.0, 'Steady'
17:00:17.818000,30.37, 'off', 0, 30.5, 'off', 0, 29.19, 29.07, 29.09, 29.0, 'Steady'
17:00:18.287000,30.37, 'off', 0, 30.5, 'off', 0, 29.19, 29.07, 29.09, 29.0, 'Steady'
17:00:18.724000,30.38, 'off', 0, 30.5, 'off', 0, 29.19, 29.07, 29.09, 29.0, 'Steady'
17:00:19.162000,30.38, 'off', 0, 30.5, 'off', 0, 29.19, 29.07, 29.09, 29.0, 'Steady'
17:00:19.615000,30.38, 'off', 0, 30.5, 'off', 0, 29.19, 29.07, 29.09, 29.0, 'Steady'
