time,'Heater 1: T (C)', 'Heat Element 1', 'Heater 1: enable', 'Heater 2: T (C)', 'Heat Element 2', 'Heater 2: enable', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)', 'Steady State: State ()'
15:30:20.310000,20.0, 0, 0, 20.0, 0, 0, 20.0, 20.0, 20.0, 20.0, 0
15:30:20.607000,20.0, 'on', 0, 20.0, 'on', 0, 20.0, 20.0, 20.0, 20.0, 0
15:30:21.170000,20.0, 'off', 0, 20.0, 'off', 0, 20.0, 20.0, 20.0, 20.0, 0
15:30:21.670000,20.0, 'off', 0, 20.0, 'off', 0, 20.0, 20.0, 20.0, 20.0, 0
15:30:22.154000,22.67, 'off', 0, 22.65, 'off', 0, 21.84, 21.76, 21.78, 21.77, 0
15:30:22.654000,25.33, 'off', 0, 25.29, 'off', 0, 23.68, 23.52, 23.56, 23.54, 'Varying'
15:30:23.170000,28.0, 'off', 0, 27.93, 'off', 0, 25.52, 25.29, 25.34, 25.31, 'Varying'
15:30:23.654000,30.67, 'off', 0, 30.58, 'off', 0, 27.36, 27.05, 27.12, 27.09, 'Varying'
15:30:24.170000,33.33, 'off', 0, 33.22, 'off', 0, 29.2, 28.81, 28.9, 28.86, 'Varying'
15:30:24.701000,33.34, 'off', 0, 33.22, 'off', 0, 29.21, 28.81, 28.9, 28.86, 'Varying'
15:30:25.201000,33.34, 'off', 0, 33.23, 'off', 0, 29.21, 28.81, 28.9, 28.87, 'Varying'
15:30:25.748000,33.34, 'off', 0, 33.23, 'off', 0, 29.22, 28.81, 28.9, 28.87, 'Varying'
15:30:26.186000,33.33, 'off', 0, 33.23, 'off', 0, 29.22, 28.81, 28.9, 28.87, 'Varying'
15:30:26.701000,33.33, 'off', 0, 33.23, 'off', 0, 29.22, 28.81, 28.9, 28.88, 'Varying'
15:30:27.186000,33.33, 'off', 0, 33.23, 'off', 0, 29.22, 28.81, 28.9, 28.88, 'Varying'
15:30:27.764000,33.32, 'off', 0, 33.23, 'off', 0, 29.22, 28.81, 28.9, 28.88, 'Varying'
15:30:28.233000,33.32, 'off', 0, 33.23, 'off', 0, 29.22, 28.81, 28.9, 28.88, 'Varying'
15:30:28.733000,33.32, 'off', 0, 33.22, 'off', 0, 29.23, 28.81, 28.9, 28.88, 'Varying'
15:30:29.186000,33.32, 'off', 0, 33.22, 'off', 0, 29.23, 28.81, 28.9, 28.87, 'Varying'
15:30:29.701000,33.32, 'off', 0, 33.22, 'off', 0, 29.23, 28.81, 28.9, 28.87, 'Varying'
15:30:30.186000,33.32, 'off', 0, 33.22, 'off', 0, 29.23, 28.81, 28.9, 28.87, 'Varying'
15:30:30.717000,33.32, 'off', 0, 33.22, 'off', 0, 29.23, 28.81, 28.9, 28.87, 'Varying'
15:30:31.248000,33.32, 'off', 0, 33.22, 'off', 0, 29.23, 28.81, 28.9, 28.87, 'Varying'
15:30:31.733000,33.32, 'off', 0, 33.22, 'off', 0, 29.23, 28.81, 28.9, 28.87, 'Varying'
15:30:32.280000,33.32, 'off', 0, 33.22, 'off', 0, 29.24, 28.81, 28.9, 28.86, 'Varying'
15:30:32.826000,33.32, 'off', 0, 33.22, 'off', 0, 29.24, 28.81, 28.9, 28.86, 'Varying'
15:30:33.317000,33.32, 'off', 0, 33.22, 'off', 0, 29.25, 28.81, 28.9, 28.86, 'Varying'
