time,temp1, 'Heat Element 1', 'Heater 1: enable', 'Heater 2: T (C)', 'Heat Element 2', 'Heater 2: enable', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)', 'Steady State: State ()',,20.60263787,7.35436
04:51.6,0,0,0,0,0,0,-25.89092862,-25.95822219,-16.99845665,-24.86428869,0,,-20.60263787,-280.1418189
04:51.7,0, 'on',0,0, 'on',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869,0,,-20.60264,7.35436
04:51.9,0, 'off',0,0, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869,0,,-20.60264,-2.801418478
04:52.1,0, 'off',0,0, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869,0,,-20.60264,7.35436
04:52.3,4.106298359, 'off',0,4.00948719, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869,0,,-16.49634164,-2.24306964
04:52.6,8.212596717, 'off',0,8.018974381, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,-12.39004328,5.523699781
04:52.8,12.31889508, 'off',0,12.02846157, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,-8.283744924,-1.499673272
04:53.1,16.42519343, 'off',0,16.03794876, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,-4.177446565,2.785571126
04:53.3,20.54572101, 'off',0,20.04743595, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,-0.05691899,-0.020433508
04:53.6,20.55995023, 'off',0,20.04743595, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,-0.042689775,2.089204371
04:53.8,20.57417944, 'off',0,20.04743595, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,-0.028460559,-0.013622678
04:54.0,20.58840866, 'off',0,20.04743595, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,-0.014231343,1.044680263
04:54.3,20.60263787, 'off',0,20.04743595, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,-2.13E-06,-2.04E-06
04:54.5,20.60263787, 'off',0,20.04743595, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,-2.13E-06,1.044680263
